YEAR,STATE,RATE,DEATHS,URL
2019,AL,160.8,10266,/nchs/pressroom/states/alabama/al.htm
2019,AK,146.9,1021,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,131.1,12503,/nchs/pressroom/states/arizona/az.htm
2019,AR,165.7,6482,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,131.6,59512,/nchs/pressroom/states/california/ca.htm
2019,CO,125.9,7986,/nchs/pressroom/states/colorado/co.htm
2019,CT,131.9,6496,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,151.9,2074,/nchs/pressroom/states/delaware/de.htm
2019,FL,139.1,45583,/nchs/pressroom/states/florida/fl.htm
2019,GA,151.4,17756,/nchs/pressroom/states/georgia/ga.htm
2019,HI,127.3,2500,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,138.1,2928,/nchs/pressroom/states/idaho/id.htm
2019,IL,151.9,23902,/nchs/pressroom/states/illinois/il.htm
2019,IN,163.4,13515,/nchs/pressroom/states/indiana/in.htm
2019,IA,150.9,6335,/nchs/pressroom/states/iowa/ia.htm
2019,KS,153.8,5619,/nchs/pressroom/states/kansas/ks.htm
2019,KY,176.4,9975,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,168.1,9485,/nchs/pressroom/states/louisiana/la.htm
2019,ME,164.2,3413,/nchs/pressroom/states/maine/me.htm
2019,MD,144.4,10743,/nchs/pressroom/states/maryland/md.htm
2019,MA,139.9,12582,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,157.1,20923,/nchs/pressroom/states/michigan/mi.htm
2019,MN,142.2,10042,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,179.1,6587,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,159.7,12873,/nchs/pressroom/states/missouri/mo.htm
2019,MT,140.9,2099,/nchs/pressroom/states/montana/mt.htm
2019,NE,147.4,3482,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,149,5434,/nchs/pressroom/states/nevada/nv.htm
2019,NH,147.4,2819,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,136.5,15698,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,131.9,3614,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,132.9,33655,/nchs/pressroom/states/newyork/ny.htm
2019,NC,152,19951,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,140.7,1316,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,163,25170,/nchs/pressroom/states/ohio/oh.htm
2019,OK,173,8309,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,145,8080,/nchs/pressroom/states/oregon/or.htm
2019,PA,153.5,27746,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,153.6,2210,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,154,10487,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,153.4,1737,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,167,14382,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,141.4,41489,/nchs/pressroom/states/texas/tx.htm
2019,UT,117.2,3289,/nchs/pressroom/states/utah/ut.htm
2019,VT,150.4,1378,/nchs/pressroom/states/vermont/vt.htm
2019,VA,144.9,15045,/nchs/pressroom/states/virginia/va.htm
2019,WA,143.4,12960,/nchs/pressroom/states/washington/wa.htm
2019,WV,175,4604,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,149.6,11505,/nchs/pressroom/states/wisconsin/wi.htm
2019,WY,138.9,1016,/nchs/pressroom/states/wyoming/wy.htm
