ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145275,2019,2019,2019,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.1,,,34.6,37.7,"6,521",32.84057112200050,-86.63186076199970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
145023,2019,2019,2019,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.5,,,27.8,33.4,"2,729",64.84507995700050,-147.72205903600000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
145779,2019,2019,2019,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.4,,,29.7,33.2,"8,183",34.865970280000500,-111.76381127700000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
145527,2019,2019,2019,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,37.4,,,35.5,39.4,"4,922",34.74865012400050,-92.27449074299970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
146031,2019,2019,2019,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.2,,,25.1,27.2,"10,546",37.63864012300050,-120.99999953800000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
146283,2019,2019,2019,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.8,,,22.7,24.9,"8,644",38.843840757000500,-106.13361092100000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
146535,2019,2019,2019,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.1,,,27.8,30.5,"8,259",41.56266102000050,-72.64984095199960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
147039,2019,2019,2019,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.4,,,32.1,36.6,"3,401",39.008830667000500,-75.57774116799970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
146787,2019,2019,2019,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.8,,,21.7,25.9,"2,367",38.89037138500050,-77.03196112699970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
147291,2019,2019,2019,FL,Florida,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.0,,,25.6,28.5,"15,091",28.932040377000500,-81.92896053899970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,12,,,,
147543,2019,2019,2019,GA,Georgia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.1,,,31.3,35.0,"6,470",32.83968109300050,-83.62758034599970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,13,,,,
148047,2019,2019,2019,HI,Hawaii,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.0,,,23.7,26.3,"7,341",21.304850435000400,-157.85774940300000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,15,,,,
148551,2019,2019,2019,ID,Idaho,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.5,,,27.6,31.4,"4,925",43.682630005000500,-114.3637300420000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,16,,,,
148803,2019,2019,2019,IL,Illinois,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.6,,,30.1,33.1,"5,188",40.48501028300050,-88.99771017799970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,17,,,,
149041,2019,2019,2019,IN,Indiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.3,,,34.0,36.7,"8,017",39.766910452000400,-86.14996019399970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,18,,,,
148299,2019,2019,2019,IA,Iowa,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.9,,,32.8,35.1,"8,938",42.46940091300050,-93.81649055599970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,19,,,,
149280,2019,2019,2019,KS,Kansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.2,,,34.1,36.4,"10,294",38.34774030000050,-98.20078122699970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,20,,,,
149532,2019,2019,2019,KY,Kentucky,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.5,,,34.7,38.2,"7,468",37.645970271000500,-84.77497104799970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,21,,,,
149811,2019,2019,2019,LA,Louisiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.9,,,34.1,37.7,"4,298",31.31266064400050,-92.44568007099970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,22,,,,
150567,2019,2019,2019,ME,Maine,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.7,,,30.3,33.1,"10,455",45.254228894000500,-68.98503133599960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,23,,,,
150315,2019,2019,2019,MD,Maryland,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.3,,,31.1,33.4,"15,864",39.29058096400050,-76.60926011099960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,24,,,,
150063,2019,2019,2019,MA,Massachusetts,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.2,,,23.9,26.5,"6,787",42.27687047000050,-72.08269067499960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,25,,,,
150819,2019,2019,2019,MI,Michigan,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.0,,,34.7,37.3,"9,857",44.6613195430005,-84.71439026999970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,26,,,,
151071,2019,2019,2019,MN,Minnesota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.1,,,29.2,31.1,"14,139",46.35564873600050,-94.79420050299970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,27,,,,
151575,2019,2019,2019,MS,Mississippi,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,40.8,,,39.0,42.7,"4,737",32.745510099000500,-89.53803082499970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,28,,,,
151323,2019,2019,2019,MO,Missouri,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.8,,,33.2,36.4,"6,726",38.635790776000500,-92.56630005299970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,29,,,,
151827,2019,2019,2019,MT,Montana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.3,,,27.0,29.7,"6,043",47.06652897200050,-109.42442064500000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,30,,,,
152583,2019,2019,2019,NE,Nebraska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.1,,,33.0,35.2,"14,710",41.6410409880005,-99.36572062299970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,31,,,,
153348,2019,2019,2019,NV,Nevada,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.6,,,28.2,33.1,"2,580",39.493240390000500,-117.07184056400000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,32,,,,
152827,2019,2019,2019,NH,New Hampshire,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.8,,,30.0,33.6,"5,220",43.65595011300050,-71.50036091999970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,33,,,,
154396,2019,2019,2019,NJ,New Jersey,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.7,,,29.7,32.6,"6,784",32.745510099000500,-71.52247031399960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,33,,,,
153096,2019,2019,2019,NM,New Mexico,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.7,,,30.0,33.5,"5,558",34.52088095200050,-106.24058098500000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,35,,,,
153600,2019,2019,2019,NY,New York,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.1,,,26.0,28.2,"12,631",42.82700103200050,-75.54397042699960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,36,,,,
152079,2019,2019,2019,NC,North Carolina,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.0,,,32.2,35.8,"3,871",35.466220975000500,-79.15925046299960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,37,,,,
152331,2019,2019,2019,ND,North Dakota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.8,,,33.0,36.7,"5,174",47.47531977900050,-100.11842104900000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,38,,,,
153852,2019,2019,2019,OH,Ohio,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.8,,,33.5,36.1,"12,385",40.06021014100050,-82.40426005599970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,39,,,,
154104,2019,2019,2019,OK,Oklahoma,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.8,,,35.2,38.4,"5,748",35.47203135600050,-97.52107021399970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,40,,,,
154356,2019,2019,2019,OR,Oregon,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.0,,,27.5,30.4,"5,548",44.56744942400050,-120.15503132600000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,41,,,,
154608,2019,2019,2019,PA,Pennsylvania,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.2,,,31.7,34.7,"6,138",40.79373015200050,-77.86070029399960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,42,,,,
155112,2019,2019,2019,RI,Rhode Island,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.0,,,28.2,31.9,"5,464",41.70828019300050,-71.52247031399960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,44,,,,
155364,2019,2019,2019,SC,South Carolina,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.4,,,33.8,36.9,"6,627",33.998821303000500,-81.04537120699970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,45,,,,
155616,2019,2019,2019,SD,South Dakota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.0,,,30.6,35.5,"6,166",44.353130053000500,-100.3735306370000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,46,,,,
155868,2019,2019,2019,TN,Tennessee,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.5,,,34.8,38.3,"5,673",35.68094058000050,-85.77449091399970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,47,,,,
156120,2019,2019,2019,TX,Texas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.0,,,32.2,35.7,"11,082",31.827240407000500,-99.42677020599970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
156624,2019,2019,2019,UT,Utah,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.2,,,28.2,30.3,"10,846",39.360700171000500,-111.58713063500000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,49,,,,
157128,2019,2019,2019,VT,Vermont,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.6,,,25.0,28.3,"5,864",43.62538123900050,-72.51764079099960,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,50,,,,
156876,2019,2019,2019,VA,Virginia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.9,,,30.6,33.2,"9,034",37.54268067400050,-78.45789046299970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,51,,,,
157380,2019,2019,2019,WA,Washington,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.3,,,27.3,29.4,"11,676",47.52227862900050,-120.47001079000000,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,53,,,,
157884,2019,2019,2019,WV,West Virginia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,39.7,,,38.0,41.5,"4,988",38.66551020200050,-80.71264013499970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,54,,,,
157605,2019,2019,2019,WI,Wisconsin,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.2,,,32.4,36.1,"4,574",44.39319117400050,-89.81637074199970,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,55,,,,
